/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6735	Jacques Francis Albert Pierre Miller AC FRS	is	a distinguished research scientist	0	7	7	8	8	12	0.9999999998901186	Jacques Francis Albert Pierre Miller AC FRS is a distinguished research scientist .	NNP NNP NNP NNP NNP NNP NNP VBZ DT JJ NN NN .	B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP O	jacques francis albert pierre miller ac frs	be	a distinguished research scientist
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6737	Miller	was born on	2 April 1931	0	1	1	4	4	7	0.9999812959806246	Miller was born on 2 April 1931 , in Nice , France , as J.F.A.P. Meunier , and grew up in France , Switzerland and China , mostly in Shanghai .	NNP VBD VBN IN CD NNP CD , IN NNP , NNP , IN NNP NNP , CC VBD RP IN NNP , NNP CC NNP , RB IN NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-PP B-NP O B-NP O B-PP B-NP I-NP O O B-VP B-PRT B-PP B-NP O B-NP O B-NP O B-PP I-PP B-NP O	miller	bear on	# april #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6737	France	grew up in	France	11	12	18	21	21	22	0.9752205858433113	Miller was born on 2 April 1931 , in Nice , France , as J.F.A.P. Meunier , and grew up in France , Switzerland and China , mostly in Shanghai .	NNP VBD VBN IN CD NNP CD , IN NNP , NNP , IN NNP NNP , CC VBD RP IN NNP , NNP CC NNP , RB IN NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-PP B-NP O B-NP O B-PP B-NP I-NP O O B-VP B-PRT B-PP B-NP O B-NP O B-NP O B-PP I-PP B-NP O	france	grow up in	france
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6738	his family	moved in	1941	18	20	20	22	22	23	0.09911464471903356	After the outbreak of World War II , in anticipation of Japan 's entry into the war , his family moved in 1941 to Sydney , Australia , and changed their last name to " Miller " .	IN DT NN IN NNP NNP NNP , IN NN IN NNP POS NN IN DT NN , PRP$ NN VBD IN CD TO NNP , NNP , CC VBD PRP$ JJ NN TO `` NNP '' .	B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP B-VP B-PP B-NP B-PP B-NP O B-NP O O B-VP B-NP I-NP I-NP B-PP O B-NP O O	his family	move in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6739	He	was educated at	St Aloysius ' College	0	1	1	4	4	8	0.8489034501550581	He was educated at St Aloysius ' College in Sydney , where he met his future colleague , Sir Gustav Nossal .	PRP VBD VBN IN NNP NNP POS NNP IN NNP , WRB PRP VBD PRP$ JJ NN , NNP NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP B-VP B-NP I-NP I-NP O B-NP I-NP I-NP O	he	educate at	st aloysius ' college
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6739	he	met	his future colleague	12	13	13	14	14	17	0.32121831887780583	He was educated at St Aloysius ' College in Sydney , where he met his future colleague , Sir Gustav Nossal .	PRP VBD VBN IN NNP NNP POS NNP IN NNP , WRB PRP VBD PRP$ JJ NN , NNP NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP B-VP B-NP I-NP I-NP O B-NP I-NP I-NP O	he	meet	his future colleague
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6740	Miller	studied medicine at	the University of Sydney	0	1	1	4	4	8	0.9917926222261213	Miller studied medicine at the University of Sydney , and had his first experience of laboratory research in the laboratory of Professor Patrick de Burgh where he studied virus infection .	NNP VBD NN IN DT NNP IN NNP , CC VBD PRP$ JJ NN IN NN NN IN DT NN IN NNP NNP NNP NNP WRB PRP VBD NN NN .	B-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-ADVP B-NP B-VP B-NP I-NP O	miller	study medicine at	the university of sydney
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6740	medicine	had his first experience of	laboratory research	2	3	10	15	15	17	0.6770442617496479	Miller studied medicine at the University of Sydney , and had his first experience of laboratory research in the laboratory of Professor Patrick de Burgh where he studied virus infection .	NNP VBD NN IN DT NNP IN NNP , CC VBD PRP$ JJ NN IN NN NN IN DT NN IN NNP NNP NNP NNP WRB PRP VBD NN NN .	B-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-ADVP B-NP B-VP B-NP I-NP O	medicine	have experience of	laboratory research
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6740	he	studied	virus infection	26	27	27	28	28	30	0.17827858785206915	Miller studied medicine at the University of Sydney , and had his first experience of laboratory research in the laboratory of Professor Patrick de Burgh where he studied virus infection .	NNP VBD NN IN DT NNP IN NNP , CC VBD PRP$ JJ NN IN NN NN IN DT NN IN NNP NNP NNP NNP WRB PRP VBD NN NN .	B-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-ADVP B-NP B-VP B-NP I-NP O	he	study	virus infection
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6741	Miller	travelled to	the United Kingdom	3	4	4	6	6	9	0.9311582177673717	In 1958 , Miller travelled to the United Kingdom on a Gaggin Research Fellowship from the University of Queensland .	IN CD , NNP VBD TO DT NNP NNP IN DT NNP NNP NNP IN DT NNP IN NNP .	B-PP B-NP O B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	miller	travel to	the united kingdom
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Miller.txt	6742	He	was accepted to	the Chester Beatty Research Institute of Cancer Research	0	1	1	4	4	12	0.9017415072110319	He was accepted to the Chester Beatty Research Institute of Cancer Research and as a PhD student at the University of London .	PRP VBD VBN TO DT NNP NNP NNP NNP IN NNP NNP CC IN DT NNP NN IN DT NNP IN NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	he	accept to	the chester beatty research institute of cancer research
